ts	temp_avg	vpd_avg	rh_avg	outdoor_rh_pct	enthalpy_delta	outdoor_temp_f	outdoor_dewpoint_f	indoor_dew_point	solar_irradiance_w_m2	outdoor_data_age_s	sp_temp_high	sp_temp_low	sp_vpd_high	sp_vpd_low	sp_bias_cool	sp_vpd_hysteresis	sp_watch_dwell_s	sp_bias_heat	sp_temp_hysteresis	sp_safety_max	sp_safety_min	sp_vpd_max_safe	sp_vpd_min_safe	sp_fog_escalation_kpa	sp_sw_fsm_controller_enabled	sp_mist_backoff_s	sp_mist_s2_delay_s	occupied	greenhouse_state	mode_reason	eq_fog	eq_vent	eq_fan1	eq_fan2	eq_heat1	eq_heat2	eq_mister_south	eq_mister_west	eq_mister_center
2025-08-05 14:00:00+00	71.8699951171875	1.11437773704529	58.2750015258789	30	-7.31295394897461			56.4303092956543																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:02:00+00	71.9150009155273	1.12206983566284	58	30	-6.92082214355469			56.377368927002																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:04:00+00	72.0499954223633	1.12997651100159	57.9749984741211	30	-6.43689346313477			56.4560508728027																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:06:00+00	72.1850051879883	1.13116431236267	57.9249992370605	30	-6.41670227050781			56.642017364502																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:08:00+00	72.2750015258789	1.13924181461334	57.9000015258789	30	-5.99365234375			56.6427307128906																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:10:00+00	72.3199996948242	1.14032936096191	57.9250030517578	30	-5.6646614074707			56.6967964172363																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:12:00+00	72.4099960327148	1.14659547805786	57.8250007629395	30	-5.50352096557617			56.7331695556641																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:14:00+00	72.5	1.15069603919983	57.8000030517578	30	-5.35577011108398			56.8053970336914																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:16:00+00	72.5900039672852	1.15363168716431	57.8500022888184	30	-5.0134162902832			56.9015808105469																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:18:00+00	72.6800003051758	1.16538310050964	57.5500030517578	30	-4.6451416015625			56.841667175293																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:20:00+00	72.7700042724609	1.16480684280396	57.6500015258789	30	-4.826904296875			56.9979782104492																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:22:00+00	72.8600006103516	1.16834115982056	57.6500015258789	30	-4.66973876953125			57.0941619873047																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:24:00+00	72.9049987792969	1.17135810852051	57.625	30	-4.37790679931641			57.1242256164551																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:26:00+00	72.995002746582	1.18132340908051	57.4000015258789	30	-3.80789947509766			57.0879364013672																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:28:00+00	73.0400009155273	1.18023288249969	57.5	30	-4.12017822265625			57.1661911010742																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:30:00+00	73.1300048828125	1.18448805809021	57.4750022888184	30	-4.00646591186523			57.2623901367188																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:32:00+00	73.2649993896484	1.19346475601196	57.3499984741211	30	-4.25193786621094			57.2798233032227																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:34:00+00	73.3550033569336	1.19277667999268	57.5	30	-3.77623748779297			57.4244232177734																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:38:00+00	73.4900054931641	1.20097744464874	57.4000015258789	30	-4.57021713256836			57.5264091491699																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
2025-08-05 14:40:00+00	73.5350036621094	1.20494103431702	57.3250007629395	30	-4.45355987548828			57.5200004577637																				f	TEMP_IDLE_HUM_IDLE		0	0	0	0	0	0	0	0	0
